English,German
hiding,Versteck
steve,steve
seemed,schien
breakfast,Frühstück
engine,Motor
written,geschrieben
complete,Komplett
video,Video
applause,Beifall
however,jedoch
pressure,Druck
fresh,frisch
weapon,Waffe
sky,Himmel
ms.,Frau.
stole,Stahl
study,Studie
burn,brennen
reading,lesen
crowd,Menge
treat,behandeln
roll,rollen
double,doppelt
spirit,Geist
danger,Achtung
cost,Kosten
empty,leer
level,Niveau
memory,Erinnerung
itself,selbst
acting,Schauspielkunst
interest,Interesse
nose,Nase
plans,Pläne
following,folgende
bathroom,Badezimmer
built,gebaut
closer,näher
ray,Strahl
sarah,Sarah
band,Band
groans,stöhnt
apparently,offenbar
excited,aufgeregt
richard,richard
losing,Verlieren
animals,Tiere
flight,Flug
nature,Natur
raise,erziehen
pop,Pop
client,Klient
bomb,Bombe
neck,Hals
suspect,vermuten
warm,warm
extra,extra
bottle,Flasche
van,Transporter
heavy,schwer
mommy,Mama
dogs,Hunde
wild,wild
ridiculous,lächerlich
simply,einfach
lee,Lee
animal,Tier
showed,zeigte
billy,Kochgeschirr
shooting,Schießen
keeps,hält
camp,Lager
guns,guns
medical,medizinisch
shame,Schande
hoping,"Hoffnung,"
whom,wem
bird,Vogel
majesty,Majestät
flowers,Blumen
famous,berühmt
asleep,schlafend
beauty,Schönheit
driver,Treiber
keys,Schlüssel
rain,Regen
awful,schrecklich
large,groß
local,lokal
deserve,verdienen
goddamn,gottverdammt
stone,Stein
jane,jane
grace,Anmut
consider,Erwägen
weekend,Wochenende
wondering,fragen
lay,legen
plenty,reichlich
willing,bereit
pants,Hose
sweetheart,Schatz
skin,Haut
excellent,Ausgezeichnet
asshole,Arschloch
beach,Strand
c,c
faith,Vertrauen
beg,bitten
fuckin,verdammt
responsible,verantwortlich
military,Militär-
cheering,Jubel
opportunity,Gelegenheit
common,verbreitet
bottom,Unterseite
german,Deutsche
whoever,wer auch immer
cook,Koch
walked,ging
papers,Papiere
justice,Gerechtigkeit
hall,Halle
commander,Kommandant
drug,Arzneimittel
main,Main
knife,Messer
devil,Teufel
necessary,notwendig
although,obwohl
princess,Prinzessin
lights,Lichter
flying,fliegend
dick,dick
rose,Rose
knowing,wissend
clearly,deutlich
hat,Hut
agreed,einverstanden
johnny,johnny
corner,Ecke
code,Code
note,Hinweis
tommy,tommy
due,fällig
correct,richtig
apologize,entschuldigen
language,Sprache
stars,Sterne
faster,schneller
cars,Autos
folks,Leute
bullshit,Bullshit
i.,ich.
fellow,Gefährte
several,mehrere
grandma,Oma
shows,zeigt an
leader,Führer
leaves,Blätter
restaurant,Restaurant
east,Osten
shouting,schreien
blind,blind
ghost,Geist
cup,Tasse
gotten,bekommen
tight,fest
conversation,Konversation
tells,erzählt
lies,Lügen
nor,Noch
pulled,zog
hanging,hängend
speed,Geschwindigkeit
stories,Geschichten
health,Gesundheit
advice,Rat
held,gehaltenen
uh-huh,nichts da
murdered,ermordet
beyond,darüber hinaus
rule,Regel
hardly,kaum
possibly,möglicherweise
inspector,Inspektor
cousin,Cousin
trial,Versuch
emergency,Notfall
ought,sollen
eddie,eddie
somehow,irgendwie
hearing,Hören
states,Zustände
account,Konto
spoke,gesprochen
file,Datei
understood,verstanden
angel,Engel
tape,Band
milk,Milch
powerful,mächtig
weapons,Bewaffnung
practice,trainieren
manager,Manager
pardon,Pardon
vote,Abstimmung
jake,jake
national,National
career,Werdegang
minister,Minister
super,Super
taught,unterrichtet
robert,Robert
biggest,größte
plays,Theaterstücke
natural,natürlich
dancing,Tanzen
copy,Kopieren
plus,Plus
martin,martin
cake,Kuchen
freedom,Freiheit
among,unter
breath,Atem
operation,Betrieb
chris,chris
crew,Besatzung
challenge,Herausforderung
